Fecha,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,IHH,Morosidad_%,IHH_Lag3,IHH_Lag6,Morosidad_Lag3,Morosidad_Lag6,Credito_Lag3
2017-08-31,94.32652354,4.5,5.95,14.75859025,19615826.5773565,1005.7462962425496,8.34294026043801,981.5100692630892,981.5115376809385,8.336115933464452,7.864816909948272,19176254.2210129
2017-09-30,94.56160003,4.5,5.85,14.75724746,19634118.1936092,1004.628134408603,8.173010679504534,990.2025817398323,981.7774889163759,7.956670237749138,7.8221072117174,19383043.1359666
2017-10-31,95.08692398,4.5,5.9,14.82487481,19677343.9865717,1002.5183708902188,8.336704570613723,1004.4098633598338,979.6781537525234,8.123485562832077,8.035103755055664,19450226.6355864
2017-11-30,95.24034131,4.75,5.9,14.84730493,19819618.0898678,1000.553839930977,8.398448416934851,1005.7462962425496,981.5100692630892,8.34294026043801,8.336115933464452,19615826.5773565
2017-12-31,95.68923991,4.75,5.95,14.86897454,19956012.8638832,1003.6573774008798,8.375890155680995,1004.628134408603,990.2025817398323,8.173010679504534,7.956670237749138,19634118.1936092
2018-01-31,96.07818835,4.75,6.1,14.40029242,19969333.168715,1000.7140742376184,8.542026433189932,1002.5183708902188,1004.4098633598338,8.336704570613723,8.123485562832077,19677343.9865717
2018-02-28,96.2806643,5.0,6.0,17.00466405,19980565.0402855,997.4698353321104,8.519529944867445,1000.553839930977,1005.7462962425496,8.398448416934851,8.34294026043801,19819618.0898678
2018-03-31,96.25052843,5.0,6.0,14.77664079,19940339.4545064,997.0549893870094,8.517503504272803,1003.6573774008798,1004.628134408603,8.375890155680995,8.173010679504534,19956012.8638832
2018-05-31,96.06746497,5.0,5.95,15.0862301,20053315.3703202,986.5372570349024,8.812096476267973,1000.7140742376184,1002.5183708902188,8.542026433189932,8.336704570613723,19969333.168715
2018-06-30,96.2379182,5.0,5.95,13.81655592,20120408.4502129,984.1316228728871,8.819722962623056,997.4698353321104,1000.553839930977,8.519529944867445,8.398448416934851,19980565.0402855
2018-07-31,96.50343843,5.0,6.0,13.75655396,20229377.6736491,991.3238443558168,8.91523641945479,997.0549893870094,1003.6573774008798,8.517503504272803,8.375890155680995,19940339.4545064
2018-08-31,96.43975477,5.0,5.95,14.35880888,20385263.745623,991.3489172608599,9.00819048813252,986.5372570349024,1000.7140742376184,8.812096476267973,8.542026433189932,20053315.3703202
2018-09-30,96.65306891,5.0,5.9,13.46630345,20666030.3435468,984.652477462085,9.116079019359303,984.1316228728871,997.4698353321104,8.819722962623056,8.519529944867445,20120408.4502129
